%ELEMENTS4.DAT  data file for parallelograms.
% Input-file of parallelograms for mesh shown in Fig. 7 of the paper 
% "Matlab-Implementation of the Finite Element Method in Elasticity" by
% J. Alberty, C. Carstensen, S. A. Funken, and R. Klose.
%
%   1-node  /  2-node  /  3-node  /  4-node
% 
  2  266  466  183
266   78  267  466
466  267  130  268
183  466  268   54
 78  269  467  267
269   26  270  467
467  270   79  271
267  467  271  130
130  271  468  274
271   79  272  468
468  272   40  273
274  468  273   80
 54  268  469  180
268  130  274  469
469  274   80  275
180  469  275   18
 26  276  470  270
276   81  277  470
470  277  131  278
270  470  278   79
 81  279  471  277
279    1  280  471
471  280   82  281
277  471  281  131
131  281  472  284
281   82  282  472
472  282   27  283
284  472  283   83
 79  278  473  272
278  131  284  473
473  284   83  285
272  473  285   40
 40  285  474  288
285   83  286  474
474  286  132  287
288  474  287   86
 83  283  475  286
283   27  289  475
475  289   84  290
286  475  290  132
132  290  476  293
290   84  291  476
476  291   12  292
293  476  292   85
 86  287  477  295
287  132  293  477
477  293   85  294
295  477  294   28
 18  275  478  169
275   80  296  478
478  296  133  297
169  478  297   50
 80  273  479  296
273   40  288  479
479  288   86  298
296  479  298  133
133  298  480  300
298   86  295  480
480  295   28  299
300  480  299   87
 50  297  481  167
297  133  300  481
481  300   87  301
167  481  301   13
 13  301  482  304
301   87  302  482
482  302  134  303
304  482  303   90
 87  299  483  302
299   28  305  483
483  305   88  306
302  483  306  134
134  306  484  309
306   88  307  484
484  307   41  308
309  484  308   89
 90  303  485  311
303  134  309  485
485  309   89  310
311  485  310   31
 28  294  486  305
294   85  312  486
486  312  135  313
305  486  313   88
 85  292  487  312
292   12  314  487
487  314   91  315
312  487  315  135
135  315  488  318
315   91  316  488
488  316   29  317
318  488  317   92
 88  313  489  307
313  135  318  489
489  318   92  319
307  489  319   41
 41  319  490  322
319   92  320  490
490  320  136  321
322  490  321   95
 92  317  491  320
317   29  323  491
491  323   93  324
320  491  324  136
136  324  492  327
324   93  325  492
492  325   11  326
327  492  326   94
 95  321  493  329
321  136  327  493
493  327   94  328
329  493  328   30
 31  310  494  332
310   89  330  494
494  330  137  331
332  494  331   97
 89  308  495  330
308   41  322  495
495  322   95  333
330  495  333  137
137  333  496  335
333   95  329  496
496  329   30  334
335  496  334   96
 97  331  497  337
331  137  335  497
497  335   96  336
337  497  336   14
  4  207  498  238
207   61  338  498
498  338  138  339
238  498  339   70
 61  209  499  338
209   19  340  499
499  340   98  341
338  499  341  138
138  341  500  344
341   98  342  500
500  342   42  343
344  500  343   99
 23  239  501  345
239   70  339  501
501  339  138  344
345  501  344   99
 19  202  502  340
202   59  346  502
502  346  139  347
340  502  347   98
 59  201  503  346
201   13  304  503
503  304   90  348
346  503  348  139
139  348  504  350
348   90  311  504
504  311   31  349
350  504  349  100
 98  347  505  342
347  139  350  505
505  350  100  351
342  505  351   42
 42  351  506  354
351  100  352  506
506  352  140  353
354  506  353  102
100  349  507  352
349   31  332  507
507  332   97  355
352  507  355  140
140  355  508  357
355   97  337  508
508  337   14  356
357  508  356  101
102  353  509  359
353  140  357  509
509  357  101  358
359  509  358   32
 23  345  510  225
345   99  360  510
510  360  141  361
225  510  361   66
 99  343  511  360
343   42  354  511
511  354  102  362
360  511  362  141
141  362  512  364
362  102  359  512
512  359   32  363
364  512  363  103
 66  361  513  223
361  141  364  513
513  364  103  365
223  513  365   15
 14  336  514  368
336   96  366  514
514  366  142  367
368  514  367  106
 96  334  515  366
334   30  369  515
515  369  104  370
366  515  370  142
142  370  516  373
370  104  371  516
516  371   43  372
373  516  372  105
106  367  517  375
367  142  373  517
517  373  105  374
375  517  374   35
 30  328  518  369
328   94  376  518
518  376  143  377
369  518  377  104
 94  326  519  376
326   11  378  519
519  378  107  379
376  519  379  143
143  379  520  382
379  107  380  520
520  380   33  381
382  520  381  108
104  377  521  371
377  143  382  521
521  382  108  383
371  521  383   43
 43  383  522  386
383  108  384  522
522  384  144  385
386  522  385  111
108  381  523  384
381   33  387  523
523  387  109  388
384  523  388  144
144  388  524  391
388  109  389  524
524  389   10  390
391  524  390  110
111  385  525  393
385  144  391  525
525  391  110  392
393  525  392   34
 35  374  526  396
374  105  394  526
526  394  145  395
396  526  395  113
105  372  527  394
372   43  386  527
527  386  111  397
394  527  397  145
145  397  528  399
397  111  393  528
528  393   34  398
399  528  398  112
113  395  529  401
395  145  399  529
529  399  112  400
401  529  400    9
 15  365  530  404
365  103  402  530
530  402  146  403
404  530  403  116
103  363  531  402
363   32  405  531
531  405  114  406
402  531  406  146
146  406  532  409
406  114  407  532
532  407   44  408
409  532  408  115
116  403  533  411
403  146  409  533
