% Input-file of boundary-elements for Dirichlet-boundary mesh shown  
% in Fig. 6 of the paper "Remarks around 50 lines of Matlab: 
% Short finite element implementation" by J. Alberty, C. Carstensen 
% and S. A. Funken.
%
% boundary-element  /  1-node  /  2-node  /  3-node  
 296 2788 2789 3094
 297  593 3094  597
 298  579 3711 3094
 299  597 3094 3711
 300  362  479  363
 301  579 2789  479
 302  363  479 2789
 303 2675 2676 2644
 304  586  588 2676
 305 2644 2676  588
 306  571 3711 3180
 307  579  674 3711
 308 3180 3711  674
 309  508  562  493
 310  604 3084  562
 311  493  562 3084
 312  508  574  562
 313  723  605  574
 314  562  574  605
 315  511  676  509
 316  723  574  676
 317  509  676  574
 318  328  349  350
 319 3077 3078  349
 320  350  349 3078
 321  362 3078  479
 322 3077  580 3078
 323  479 3078  580
 324  586  587  588
 325 3077  349  587
 326  588  587  349
 327  470  566 3270
 328  564  555  566
 329 3270  566  555
 330  604 3085 3084
 331  564  566 3085
 332 3084 3085  566
 333 2675  713 2676
 334  715  714  713
 335 2676  713  714
 336 1914 1916 3052
 337  715  713 1916
 338 3052 1916  713
 339  554  555  556
 340  564  621  555
 341  556  555  621
 342  459  460  461
 343 1914 3406  460
 344  461  460 3406
 345  620  621  622
 346  564  683  621
 347  622  621  683
 348  564  682  683
 349 3086  568  682
 350  683  682  568
 351  567  568  569
 352 3086 3089  568
 353  569  568 3089
 354  604  719 3085
 355 3086  682  719
 356 3085  719  682
 357  459  532  460
 358  715 1916  532
 359  460  532 1916
 360  519  602  520
 361  632  675  602
 362  520  602  675
 363  511  675  676
 364  632  724  675
 365  676  675  724
 366  694  633  592
 367  632  602  633
 368  592  633  602
 369  579  580  674
 370 3077  695  580
 371  674  580  695
 372 3086 3088 3089
 373  538  540 3088
 374 3089 3088  540
 375  715 2692  714
 376  538  721 2692
 377  714 2692  721
 378  538  539  540
 379  526 2477  539
 380  540  539 2477
 381  604  718  719
 382  684 3096  718
 383  719  718 3096
 384 3086 3096 3088
 385  684 3454 3096
 386 3088 3096 3454
 387  723 2884  605
 388  684  718 2884
 389  605 2884  718
 390  715  527 2692
 391  526  539  527
 392 2692  527  539
 393  526  527  528
 394  715  532  527
 395  528  527  532
 396  586  722  587
 397 2678 3100  722
 398  587  722 3100
 399  723  725 2884
 400 2678  742  725
 401 2884  725  742
 402  684  742 3454
 403 2678 2804  742
 404 3454  742 2804
 405 2678  722 2804
 406  586  721  722
 407 2804  722  721
 408 3077 3100  695
 409 2678  647 3100
 410  695 3100  647
 411  694  647  633
 412 2678 2679  647
 413  633  647 2679
 414 2678  725 2679
 415  723  724  725
 416 2679  725  724
 417   24 2815 3720
 418 2814 2817 2815
 419 3720 2815 2817
 420   21 3574 1507
 421 3407 1508 3574
 422 1507 3574 1508
 423 3407 3574 3720
 424   21 1653 3574
 425 3720 3574 1653
 426 1498 1499 1500
 427   21 1507 1499
 428 1500 1499 1507
 429   21 1499 1510
 430 1498 3575 1499
 431 1510 1499 3575
 432 2443 1837 3595
 433 1793 3575 1837
 434 3595 1837 3575
 435 1781 2434 1782
 436 2776 2444 2434
 437 1782 2434 2444
 438 1409 2435 2625
 439 1781 1792 2435
 440 2625 2435 1792
 441 1781 2435 2434
 442 1409 3550 2435
 443 2434 2435 3550
 444 1791 3693 2625
 445 2053 2056 3693
 446 2625 3693 2056
 447 1502 1503 2425
 448 2053 3693 1503
 449 2425 1503 3693
 450    9 1494 1495
 451 1502 1777 1494
 452 1495 1494 1777
 453   15  416  696
 454 1669 1671  416
 455  696  416 1671
 456 1669  416 1495
 457   15   13  416
 458 1495  416   13
 459 2814 2815  835
 460   24  836 2815
 461  835 2815  836
 462 1502 1494 1503
 463    9 1769 1494
 464 1503 1494 1769
 465 2776 3105 2444
 466 3104 2445 3105
 467 2444 3105 2445
 468 3104 1796 2445
 469 1793 1837 1796
 470 2445 1796 1837
 471  475  468  476
 472   36  467  468
 473  476  468  467
 474   48   49   52
 475   66   67   49
